time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-09-14T21:04:59.040Z,32.8785,-96.901,5,2,ml,,86,0.029,0.59,us,us20003jgp,2015-12-12T00:42:52.040Z,"5km S of Farmers Branch, Texas",earthquake,5.9,1.5,0.128,8,reviewed,us,us
2015-09-12T12:16:16.840Z,32.8281,-96.933,5,2.2,mb_lg,,65,0.01,0.95,us,us20003j0n,2015-12-12T00:42:48.040Z,"2km NE of Irving, Texas",earthquake,1.7,1.8,0.132,15,reviewed,us,us
2015-09-12T09:34:20.660Z,32.8427,-96.9185,5,2.5,mb_lg,,59,0.011,0.56,us,us20003j78,2015-12-12T00:42:47.040Z,"4km NE of Irving, Texas",earthquake,2.6,1.8,0.081,40,reviewed,us,us
2015-08-31T08:15:37.160Z,32.8379,-96.9038,5,1.8,ml,,77,0.011,0.77,us,us20003f7u,2015-12-01T00:36:05.040Z,"4km ENE of Irving, Texas",earthquake,2.2,1.6,0.128,8,reviewed,us,us
2015-08-25T20:59:47.930Z,32.8552,-96.9412,5,2.2,mb_lg,,58,0.027,0.65,us,us100034w2,2015-11-24T02:09:35.040Z,"4km N of Irving, Texas",earthquake,2,1.5,0.147,12,reviewed,us,us
2015-08-25T20:18:31.760Z,32.8363,-96.9467,5,2.1,mb_lg,,77,0.022,0.47,us,us100034w9,2015-11-24T02:09:35.040Z,"2km N of Irving, Texas",earthquake,1.8,1.8,0.228,5,reviewed,us,us
2015-08-12T11:13:28.340Z,32.8465,-96.9122,9.78,2.7,mb_lg,,64,0.008,0.3,us,us100031dl,2017-08-25T12:22:20.299Z,"4km NE of Irving, Texas",earthquake,3.1,3,0.068,58,reviewed,us,us
2015-08-04T02:44:07.000Z,34.2937,-97.5414,8.42,2.8,mb_lg,,47,0.389,0.55,us,us10002xsg,2015-10-30T02:47:47.040Z,"8km NW of Healdton, Oklahoma",earthquake,2.2,6.7,0.063,65,reviewed,us,us
2015-08-03T05:09:35.490Z,34.3143,-97.5445,5,2.7,mb_lg,,44,0.372,1.09,us,us10002xe4,2015-10-30T02:47:45.040Z,"10km NNW of Healdton, Oklahoma",earthquake,1.1,2,0.072,50,reviewed,us,us
2015-08-02T23:45:53.900Z,34.2883,-97.6031,3.715,2.7,ml,,165,,0.61,us,us10002xda,2015-10-30T02:47:45.040Z,"12km WNW of Healdton, Oklahoma",earthquake,3.2,7.8,,,reviewed,tul,tul
